,player,team,position,batting_average,obp,slugging_percentage,ops,games_played,at_bats,runs,hits,doubles,triples,homeruns,rbi,hit_by_pitch,walks,strikeouts,stolen_bases,caught_stealing,all_american
1178,Makena Brocki,San Diego State,,0.275,0.341,0.408,0.749,48,120,19,33,4,3,2,22,2,10,19,6,1,False
1179,Alyssa Kramer,Western Michigan,,0.275,0.306,0.451,0.757,54,153,23,42,6,0,7,25,3,4,34,1,0,False
1180,Emma McMillan,Purdue Fort Wayne,,0.275,0.316,0.345,0.661,49,142,19,39,7,0,1,14,0,9,20,8,3,False
1181,Megan Forbes,Fairfield,,0.275,0.349,0.366,0.715,47,131,18,36,7,1,1,18,1,14,43,8,2,False
1182,Kayla Whitehead,Florida International,,0.275,0.31,0.399,0.709,49,138,7,38,4,2,3,12,1,6,20,0,1,False
1183,Vallery Wong,Oregon,,0.275,0.325,0.588,0.913,41,102,19,28,2,0,10,29,2,7,21,1,1,False
1184,Brailey Wasik,Sam Houston,,0.275,0.364,0.637,1.001,50,102,13,28,4,0,11,28,0,15,28,0,1,False
1185,Emily Cockrill,Belmont,,0.275,0.302,0.38,0.682,49,142,27,39,7,1,2,1,0,6,0,0,0,False
1186,Mara Sczecienski,Hartford,,0.275,0.298,0.508,0.806,45,120,12,33,9,2,5,16,1,3,24,0,0,False
1187,Jordyn Gasper,Utah,,0.275,0.331,0.325,0.656,54,160,21,44,6,1,0,27,3,11,18,9,0,False
1188,Amy Petrovich,Sacred Heart,,0.275,0.329,0.391,0.72,50,138,13,38,8,1,2,1,2,11,0,0,0,False
1189,Becca Edwards,Green Bay,,0.275,0.392,0.44,0.832,46,109,12,30,7,1,3,16,5,16,24,0,0,False
1190,Peyton Dolejs,Bowling Green,,0.275,0.375,0.392,0.767,55,171,30,47,7,2,3,27,5,23,23,2,0,False
1191,Ella White,Butler,,0.275,0.365,0.519,0.884,47,131,31,36,11,3,5,29,1,20,28,2,1,False
1192,Olivia Patton,Indiana State,,0.275,0.309,0.289,0.598,52,142,28,39,2,0,0,5,2,5,20,5,2,False
1193,Madison Kennedy,Jacksonville,,0.275,0.352,0.463,0.815,35,80,8,22,3,0,4,13,2,8,24,0,0,False
1194,Haley Wynn,Ball State,,0.275,0.344,0.456,0.8,53,171,35,47,13,0,6,22,2,17,25,7,3,False
1195,Madeline Gailor,Morehead State,,0.275,0.315,0.324,0.639,35,102,6,28,5,0,0,18,0,6,14,12,3,False
1196,Emily Budelli,Pacific,,0.275,0.337,0.275,0.612,49,160,20,44,0,0,0,3,0,15,30,11,4,False
1197,Alyssa Wesley,Arkansas-Pine Bluff,,0.274,0.311,0.327,0.638,43,113,14,31,4,1,0,2,1,6,18,8,1,False
1198,Corissa Sweet,Long Beach State,,0.274,0.373,0.347,0.72,44,95,19,26,5,1,0,13,5,10,19,5,1,False
1199,Sam Russ,Clemson,,0.274,0.382,0.429,0.811,59,168,30,46,7,5,3,14,7,23,22,29,0,False
1200,Marissa Guimbarda,Clemson,,0.274,0.392,0.53,0.922,59,164,19,45,9,0,11,39,6,27,49,1,0,False
1201,Savannah Wing,Kent State,,0.274,0.375,0.345,0.72,47,113,15,31,5,0,1,14,7,13,16,1,0,False
1202,Julia Bilbao,Texas Southern,,0.274,0.396,0.389,0.785,43,113,25,31,5,1,2,23,1,23,14,4,1,False
1203,Cami Compson,Pittsburgh,,0.274,0.348,0.496,0.844,41,117,20,32,3,1,7,22,2,12,48,4,0,False
1204,Jolie Duong,Army,,0.274,0.339,0.387,0.726,44,106,20,29,3,0,3,8,1,10,16,2,0,False
1205,Kaitlyn Cook,Colorado State,,0.274,0.315,0.444,0.759,46,135,19,37,5,0,6,23,3,6,28,0,2,False
1206,Katie Reeg,Dayton,,0.274,0.331,0.434,0.765,46,106,22,29,8,0,3,18,2,8,20,6,0,False
1207,Sarah Price,USC Upstate,,0.273,0.34,0.339,0.679,58,183,40,50,9,0,1,26,1,18,12,37,3,False
1208,Emily Parrott,Appalachian State,,0.273,0.328,0.409,0.737,55,176,33,48,6,0,6,28,1,15,18,9,2,False
1209,Korynna Anderson,Longwood,,0.273,0.342,0.424,0.766,52,139,17,38,6,0,5,20,7,8,22,3,2,False
1210,Alex Musial,Binghamton,,0.273,0.385,0.455,0.84,41,66,12,18,6,0,2,10,4,8,28,0,0,False
1211,SeaEnna Satcher,Charleston Southern,,0.273,0.31,0.448,0.758,55,165,20,45,9,1,6,33,8,1,18,1,1,False
1212,Madison Lewis,Florida International,,0.273,0.375,0.405,0.78,45,121,16,33,9,2,1,20,5,16,30,4,1,False
1213,Kacie Hoffmann,Arkansas,,0.273,0.333,0.555,0.888,51,110,17,30,5,1,8,0,2,8,0,0,0,False
1214,Lauren VanAssche,Virginia,,0.273,0.322,0.36,0.682,49,139,26,38,6,0,2,2,0,10,0,0,0,False
1215,Kaia Bonshock,Mount St. Marys,,0.273,0.373,0.381,0.754,48,139,8,38,6,0,3,25,5,17,20,2,0,False
1216,Jordan Jenkins,Northern Kentucky,,0.273,0.341,0.323,0.664,56,161,4,44,5,0,1,20,2,15,30,0,0,False
1217,Jenna OHair,Northern Kentucky,,0.273,0.413,0.309,0.722,46,110,20,30,4,0,0,8,8,19,24,6,3,False
1218,Kinzie Hansen,Oklahoma,,0.273,0.323,0.521,0.844,52,121,26,33,6,0,8,4,2,7,0,0,0,False
1219,Allyson Ferreira,Santa Clara,,0.273,0.303,0.406,0.709,43,128,19,35,8,3,1,1,1,8,0,0,0,False
1220,Blayke Batten,UNC Greensboro,,0.273,0.346,0.562,0.908,43,121,31,33,4,2,9,26,2,12,21,0,0,False
1221,Brooklyn Weisgram,Montana,,0.273,0.348,0.488,0.836,46,121,21,33,8,0,6,22,8,7,29,1,0,False
1222,Kailey Snell,Chattanooga,,0.273,0.327,0.344,0.671,53,154,23,42,4,2,1,17,2,11,26,10,2,False
1223,Kiaya Jeusi,Hampton,,0.273,0.343,0.373,0.716,55,161,17,44,6,2,2,25,4,13,38,11,1,False
1224,Kara Fusco,Colgate,,0.273,0.326,0.424,0.75,46,132,11,36,9,1,3,17,1,10,24,0,0,False
1225,Aspen Howie,Houston,,0.273,0.371,0.54,0.911,54,150,27,41,7,0,11,34,1,23,16,0,2,False
1226,Gabby Baylog,Virginia,,0.273,0.383,0.418,0.801,48,110,13,30,7,0,3,0,4,17,0,0,0,False
1227,Brook Richards,Idaho State,,0.273,0.363,0.338,0.701,52,139,25,38,7,1,0,1,3,21,0,0,0,False
1228,Ashanti Eubanks,North Carolina Central,,0.273,0.455,0.333,0.788,41,66,12,18,1,0,1,10,0,22,26,0,1,False
1229,Danielle Duplay,Nicholls State,,0.272,0.409,0.296,0.705,49,125,20,34,3,0,0,9,1,28,21,10,2,False
1230,Sam Roe,Florida,,0.272,0.294,0.398,0.692,53,103,15,28,2,1,3,17,1,3,13,1,1,False
1231,Marah Wood,Evansville,,0.272,0.344,0.544,0.888,50,147,22,40,14,1,8,31,0,16,34,7,1,False
1232,Kianna Jones,North Carolina,,0.272,0.322,0.478,0.8,50,136,14,37,5,1,7,28,1,10,28,0,1,False
1233,Hannah Earls,Texas State,,0.272,0.355,0.299,0.654,53,147,28,40,2,1,0,9,0,19,18,22,4,False
1234,Sydney Gutierrez,Ole Miss,,0.272,0.39,0.384,0.774,57,151,19,41,10,2,1,31,8,22,24,1,0,False
1235,Delaney Diaz,UC Davis,,0.272,0.317,0.39,0.707,44,136,9,37,4,0,4,25,1,8,20,1,0,False
1236,Carolyn Deady,Georgia State,,0.272,0.378,0.496,0.874,51,125,15,34,1,0,9,1,1,21,0,0,0,False
1237,Alesia Ranches,Iowa State,,0.272,0.362,0.444,0.806,55,151,25,41,9,1,5,34,0,23,41,4,0,False
1238,Ashley Errico,Drexel,,0.272,0.392,0.544,0.936,45,136,28,37,5,1,10,35,6,22,31,0,1,False
1239,Hailey Batista,North Carolina Central,,0.272,0.393,0.52,0.913,48,125,31,34,10,0,7,28,4,21,26,5,0,False
1240,Emery Nielson,Fresno State,,0.271,0.312,0.297,0.609,49,118,22,32,1,1,0,1,0,7,25,7,4,False
1241,Makenzie Miller,Wagner,,0.271,0.3,0.361,0.661,48,133,23,36,7,1,1,14,2,4,18,4,1,False
1242,Rylie West,Tennessee,,0.271,0.373,0.549,0.922,52,133,30,36,9,2,8,24,5,18,15,0,0,False
1243,Janea Mobley,Florida A&M,,0.271,0.324,0.365,0.689,41,96,4,26,4,1,1,1,1,7,0,0,0,False
1244,Katie Goldberg,Virginia,,0.271,0.344,0.553,0.897,54,170,30,46,8,2,12,0,2,17,0,0,0,False
1245,Ariel Carlson,Oregon,,0.271,0.35,0.636,0.986,51,140,35,38,4,1,15,42,4,14,35,9,2,False
1246,Conchetta Rinaldi,Youngstown State,,0.271,0.284,0.429,0.713,56,177,13,48,10,0,6,5,1,6,0,0,0,False
1247,Leslie Romero,New Mexico,,0.271,0.323,0.382,0.705,50,144,13,39,10,0,2,5,0,11,0,0,0,False
1248,Taylor Gauthier,Detroit Mercy,,0.271,0.33,0.292,0.622,33,96,10,26,2,0,0,0,1,8,0,0,0,False
1249,Kelsey Lenox,South Dakota State,,0.271,0.391,0.473,0.864,49,129,11,35,8,0,6,23,2,26,24,0,0,False
1250,Kyndall Crawford,Lipscomb,,0.271,0.351,0.322,0.673,47,118,17,32,3,0,1,10,2,13,24,1,0,False
1251,Rachel Weber,Omaha,,0.271,0.303,0.368,0.671,44,144,15,39,12,1,0,26,1,6,48,1,1,False
1252,Kaylee Lambrecht,NC State,,0.271,0.356,0.452,0.808,55,177,37,48,8,0,8,27,2,22,28,7,2,False
1253,Miranda Lista,Abilene Christian,,0.271,0.321,0.419,0.74,43,129,21,35,3,2,4,18,2,8,23,2,1,False
1254,Shawnee Ronyak,Coppin State,,0.271,0.333,0.336,0.669,43,107,12,29,3,2,0,13,0,10,22,2,3,False
1255,Joslynn Davis,Bethune-Cookman,,0.271,0.35,0.285,0.635,50,144,21,39,2,0,0,9,1,17,24,6,2,False
1256,Alexis Bishop,California,,0.271,0.403,0.441,0.844,51,118,13,32,3,1,5,23,11,15,37,1,0,False
1257,Ashleigh Duty,Georgia Southern,,0.271,0.322,0.28,0.602,43,107,23,29,1,0,0,0,1,7,25,10,2,False
1258,Lauren Kehlenbrink,Valparaiso,,0.271,0.33,0.49,0.82,36,96,11,26,9,0,4,0,0,9,0,0,0,False
1259,Maile Olsen,California Baptist,,0.271,0.281,0.364,0.645,53,129,21,35,9,0,1,17,0,3,16,6,0,False
1260,Skyler Rapuano,Rhode Island,,0.271,0.351,0.331,0.682,41,118,18,32,3,2,0,10,1,14,31,7,3,False
1261,Gabby Papushka,Maine,,0.27,0.287,0.489,0.776,42,137,22,37,12,0,6,27,0,4,40,0,1,False
1262,Alaina Koutsogiani,Robert Morris,,0.27,0.358,0.371,0.729,52,178,35,48,5,2,3,23,10,15,54,38,4,False
1263,Dezarae Maldonado,South Florida,,0.27,0.303,0.459,0.762,57,122,19,33,5,0,6,22,1,6,19,3,0,False
1264,Alicia Orosco,Stony Brook,,0.27,0.324,0.307,0.631,47,163,32,44,4,1,0,13,0,13,16,9,2,False
1265,Paige Halliwill,Southeast Missouri State,,0.27,0.347,0.48,0.827,54,148,35,40,7,0,8,1,10,10,0,0,0,False
1266,Makenzie Chaffin,Northwestern State,,0.27,0.329,0.396,0.725,51,159,26,43,3,1,5,21,1,13,17,4,4,False
1267,Reese Reyna,McNeese,,0.27,0.369,0.372,0.741,57,137,26,37,6,1,2,17,9,13,26,15,2,False
1268,Jacquelyn Bickar,Long Beach State,,0.27,0.357,0.36,0.717,51,111,32,30,3,2,1,16,4,12,16,5,3,False
1269,Lindsay Ward,Saint Francis (PA),,0.27,0.36,0.461,0.821,52,152,33,41,3,1,8,33,11,12,26,5,1,False
1270,Ellie Hubbard,Wisconsin,,0.27,0.366,0.365,0.731,51,137,24,37,9,2,0,13,3,19,43,0,0,False
1271,Mikayla Rubin,Fairfield,,0.27,0.297,0.343,0.64,47,137,8,37,7,0,1,26,1,5,17,1,0,False
1272,Paetynn Lopez,Portland State,,0.27,0.368,0.549,0.917,43,122,28,33,4,3,8,25,2,18,21,2,0,False
1273,Nyah Jones,Grambling,,0.27,0.328,0.33,0.658,44,115,16,31,4,0,1,14,3,8,17,7,0,False
1274,Alison Guckin,Norfolk State,,0.27,0.368,0.351,0.719,55,148,30,40,7,1,1,15,2,22,24,38,5,False
1275,Kara Daly,Missouri,,0.27,0.37,0.547,0.917,59,148,24,40,2,0,13,26,3,21,47,1,0,False
1276,Harlie Bickett,Lafayette,,0.27,0.329,0.331,0.66,45,148,23,40,7,1,0,14,7,6,29,5,2,False
1277,Julia Mortimer,Pennsylvania,,0.27,0.311,0.38,0.691,36,100,7,27,5,0,2,1,0,6,0,0,0,False
1278,Lindsey Rizzo,Southeastern Louisiana,,0.27,0.346,0.288,0.634,55,111,32,30,2,0,0,9,0,14,14,16,0,False
1279,Madison Bratek,Jacksonville,,0.27,0.36,0.32,0.68,44,100,16,27,2,0,1,6,1,13,11,11,2,False
1280,Taylor Herschbach,Valparaiso,,0.27,0.321,0.325,0.646,45,126,21,34,5,1,0,0,1,10,0,0,0,False
1281,Amanda Argomaniz,California Baptist,,0.27,0.354,0.365,0.719,55,126,7,34,4,1,2,26,1,16,22,0,0,False
1282,Hannah Borden,Southern Miss,,0.27,0.375,0.493,0.868,52,152,20,41,5,1,9,31,4,24,14,0,0,False
1283,Alycia Coats,Nevada,,0.269,0.328,0.417,0.745,43,108,7,29,2,1,4,14,1,9,38,0,0,False
1284,Alexa Davis,Evansville,,0.269,0.359,0.47,0.829,50,134,25,36,10,4,3,27,5,14,33,7,1,False
1285,Ellie Grill,Sam Houston,,0.269,0.338,0.37,0.708,50,119,20,32,6,3,0,9,4,9,30,10,1,False
1286,Hannah Kumiyama,South Carolina,,0.269,0.375,0.388,0.763,56,160,14,43,4,0,5,36,4,25,30,0,0,False
1287,Aubrie Lisenby,Auburn,,0.269,0.353,0.385,0.738,50,104,14,28,6,0,2,18,1,13,13,1,0,False
1288,Samantha Parish,Sacramento State,,0.269,0.284,0.368,0.652,55,171,29,46,9,1,2,2,1,7,0,0,0,False
1289,Sarah Venker,Houston Baptist,,0.269,0.343,0.378,0.721,46,119,10,32,7,0,2,21,1,13,12,3,0,False
1290,Delanie Johnson,Ball State,,0.269,0.358,0.471,0.829,43,104,8,28,6,0,5,30,7,8,21,0,0,False
1291,Katie Pederson,Bradley,,0.268,0.311,0.431,0.742,48,123,13,33,6,1,4,23,2,7,27,3,0,False
1292,Reagan Walsh,Florida,,0.268,0.301,0.404,0.705,68,213,22,57,11,0,6,50,2,10,27,0,0,False
1293,Avery Goelz,Florida,,0.268,0.319,0.349,0.668,67,149,23,40,4,1,2,19,3,9,23,1,0,False
1294,Rachel Kaufman,Eastern Illinois,,0.268,0.432,0.507,0.939,45,71,13,19,2,0,5,0,5,17,0,0,0,False
1295,Josie Charles,Lehigh,,0.268,0.295,0.323,0.618,52,127,19,34,3,2,0,5,0,5,28,6,1,False
1296,Jenna Kroll,Toledo,,0.268,0.35,0.48,0.83,44,127,15,34,7,1,6,26,5,11,29,0,0,False
1297,Autumn Bennett,Boise State,,0.268,0.396,0.354,0.75,41,82,21,22,7,0,0,11,2,16,18,4,1,False
1298,Bree Kohler,Youngstown State,,0.268,0.353,0.375,0.728,46,112,24,30,3,3,1,1,6,12,0,0,0,False
1299,Kylie Hobbs,Sam Houston,,0.268,0.335,0.49,0.825,53,157,19,42,12,1,7,35,3,14,25,4,1,False
1300,Abi Ledbetter,Belmont,,0.268,0.331,0.346,0.677,50,153,23,41,7,1,1,2,1,14,0,0,0,False
1301,Kalena Burns,Iowa,,0.268,0.371,0.417,0.788,51,127,9,34,5,1,4,2,5,17,0,0,0,False
1302,Kyla Reeves,South Carolina State,,0.268,0.388,0.521,0.909,33,71,8,19,4,1,4,12,5,9,21,3,1,False
1303,Camryn Robillard,UTSA,,0.268,0.392,0.477,0.869,48,149,33,40,7,0,8,25,2,29,36,0,0,False
1304,Grace Harvey,Lafayette,,0.268,0.35,0.399,0.749,47,138,15,37,13,1,1,27,7,13,18,3,1,False
1305,Avery Carnahan,Northern Illinois,,0.268,0.363,0.371,0.734,36,97,16,26,4,3,0,18,1,14,19,6,1,False
1306,Bailey Chavez,Holy Cross,,0.268,0.338,0.282,0.62,50,142,20,38,2,0,0,6,1,14,13,7,1,False
1307,Delaney McDilda,Campbell,,0.268,0.343,0.394,0.737,53,142,15,38,9,0,3,32,4,15,14,1,1,False
1308,Claudia Ware,Campbell,,0.268,0.364,0.349,0.713,52,149,28,40,7,1,1,15,3,20,28,22,2,False
1309,Alaana Panu,Dartmouth,,0.268,0.348,0.423,0.771,44,123,21,33,8,1,3,14,9,6,21,7,0,False
1310,Peyton Gale,Northern Colorado,,0.268,0.354,0.366,0.72,46,112,13,30,5,0,2,3,8,8,0,0,0,False
1311,Joely Leguizamon,Jacksonville,,0.268,0.317,0.423,0.74,41,97,15,26,2,2,3,8,0,7,22,7,0,False
1312,Madison Mifsud,North Carolina Central,,0.268,0.331,0.394,0.725,48,127,13,34,4,0,4,29,3,9,13,2,1,False
1313,Vivian Ponn,South Florida,,0.267,0.365,0.452,0.817,56,135,19,36,8,1,5,24,5,16,24,0,0,False
1314,Cassidy Brendtke,Western Michigan,,0.267,0.322,0.391,0.713,53,161,18,43,11,0,3,21,0,13,28,0,1,False
1315,Laneya Wright,Rider,,0.267,0.301,0.377,0.678,51,146,20,39,8,1,2,23,2,5,17,0,0,False
1316,Riley Dittmar,Eastern Illinois,,0.267,0.354,0.375,0.729,51,120,28,32,5,1,2,3,1,18,0,0,0,False
1317,Kari Shedrick,Providence,,0.267,0.396,0.333,0.729,40,75,10,20,2,0,1,8,1,15,18,0,0,False
1318,Indya Smith,Saint Mary's,,0.267,0.328,0.388,0.716,45,116,13,31,7,2,1,15,4,7,22,2,0,False
1319,Aaliyah White,UT Arlington,,0.267,0.357,0.302,0.659,39,86,13,23,3,0,0,9,0,12,16,4,1,False
1320,Emma Capuano,Iona,,0.267,0.336,0.37,0.706,45,135,18,36,8,0,2,8,2,12,32,7,2,False
1321,Paige Sinicki,Oregon,,0.267,0.324,0.444,0.768,49,135,30,36,3,3,5,28,6,6,10,12,3,False
1322,Alicia Veltri,Belmont,,0.267,0.431,0.446,0.877,45,101,16,27,3,0,5,0,3,26,0,0,0,False
1323,Emma Sellers,South Carolina,,0.267,0.34,0.336,0.676,56,131,25,35,4,1,1,13,2,13,29,6,1,False
1324,Kelsey Alexander,Central Michigan,,0.267,0.333,0.519,0.852,51,131,23,35,7,1,8,23,1,12,31,1,1,False
1325,Shelbi Sunseri,LSU,,0.267,0.388,0.616,1.004,53,146,24,39,6,0,15,3,2,28,0,0,0,False
1326,Paola Villegas,Northern Colorado,,0.267,0.366,0.476,0.842,47,105,20,28,8,1,4,1,10,11,0,0,0,False
1327,Cierra Simon,North Texas,,0.267,0.298,0.398,0.696,53,161,35,43,4,1,5,19,1,7,32,17,3,False
1328,Mackenzie Griman,Butler,,0.267,0.319,0.41,0.729,45,105,11,28,3,0,4,19,3,5,20,0,0,False
1329,Bailey Dowling,Alabama,,0.267,0.366,0.533,0.899,54,150,26,40,8,1,10,29,1,23,18,1,1,False
1330,Alexa Poche,Nicholls State,,0.266,0.296,0.476,0.772,48,143,17,38,6,0,8,29,4,3,41,1,1,False
1331,Ashley Della Guardia,UMBC,,0.266,0.307,0.404,0.711,37,94,16,25,4,0,3,14,0,6,17,1,0,False
1332,Melkayla Irvis,Florida A&M,,0.266,0.358,0.309,0.667,39,94,18,25,2,1,0,0,0,14,0,0,0,False
1333,Tori Gilbert,Virginia,,0.266,0.354,0.584,0.938,54,154,35,41,11,1,12,3,3,18,0,0,0,False
1334,Maiah Skakal,Saint Peter's,,0.266,0.304,0.367,0.671,52,139,23,37,6,1,2,13,5,3,15,3,2,False
1335,Chloe Collins,Bellarmine,,0.266,0.347,0.477,0.824,43,109,8,29,5,0,6,17,1,13,20,0,0,False
1336,Emma Curry,Hartford,,0.266,0.33,0.479,0.809,42,94,18,25,7,2,3,14,3,7,23,5,1,False
1337,Carley Davis,Elon,,0.266,0.331,0.347,0.678,47,124,10,33,4,0,2,20,2,11,9,3,0,False
1338,Logyn Estes,East Carolina,,0.266,0.356,0.438,0.794,54,128,24,34,4,3,4,27,2,17,22,4,1,False
1339,Lexi Burkhardt,Omaha,,0.266,0.328,0.427,0.755,40,124,13,33,11,0,3,16,2,10,25,2,0,False
1340,Kaylee Tow,Alabama,,0.266,0.385,0.381,0.766,53,139,25,37,4,0,4,28,1,27,21,0,1,False
1341,Grayson Radcliffe,Indiana,,0.266,0.333,0.391,0.724,40,128,16,34,8,1,2,1,7,7,0,0,0,False
1342,Keeler Van Breusegen,Bradley,,0.265,0.327,0.346,0.673,52,136,13,36,6,1,1,20,1,13,27,4,2,False
1343,Noel Dominguez,College of Charleston,,0.265,0.355,0.295,0.65,50,132,10,35,2,1,0,6,4,15,19,3,1,False
1344,Lauren Caye,Seton Hall,,0.265,0.364,0.522,0.886,39,113,24,30,9,1,6,17,1,17,26,10,0,False
1345,Alexa Neil,Cal State Fullerton,,0.265,0.307,0.325,0.632,59,151,28,40,7,1,0,0,4,6,0,0,0,False
1346,Antiya Randle,Grambling,,0.265,0.395,0.327,0.722,40,98,18,26,3,0,1,15,0,21,16,4,0,False
1347,McKenzie Parker,Texas,,0.265,0.347,0.484,0.831,55,155,23,41,10,0,8,42,0,20,32,3,0,False
1348,Amber Atkins,East Tennessee State,,0.265,0.356,0.373,0.729,51,102,6,27,5,0,2,9,3,12,28,3,0,False
1349,Sydney Kaiser,Abilene Christian,,0.265,0.367,0.325,0.692,50,117,14,31,2,1,1,17,3,17,17,1,1,False
1350,Skylar Coberley,Central Michigan,,0.265,0.35,0.387,0.737,53,155,23,41,7,0,4,26,1,20,46,1,0,False
1351,Kelly Warren,East Tennessee State,,0.265,0.328,0.3,0.628,54,170,23,45,2,2,0,12,1,15,41,24,10,False
1352,Makenna Dowell,Minnesota,,0.265,0.387,0.388,0.775,54,147,29,39,7,1,3,1,10,21,0,0,0,False
1353,Marissa Burk,UC Riverside,,0.265,0.351,0.477,0.828,46,132,25,35,10,0,6,21,1,18,16,0,0,False
1354,Jaeda Gardner,Alabama State,,0.265,0.313,0.279,0.592,52,136,25,36,2,0,0,11,0,10,34,16,1,False
1355,Randi Drinnon,Western Kentucky,,0.264,0.367,0.403,0.77,51,129,20,34,7,1,3,14,0,21,18,5,0,False
1356,Esperanza Coe,Alabama A&M,,0.264,0.316,0.403,0.719,34,72,9,19,4,0,2,14,1,5,10,1,0,False
1357,Chloe Gomez,McNeese,,0.264,0.362,0.318,0.68,46,110,16,29,4,1,0,18,4,13,16,5,1,False
1358,Kaylee Ketcherside,Western Illinois,,0.264,0.286,0.292,0.578,41,106,9,28,1,1,0,0,1,3,0,0,0,False
1359,Zoey Jones,Florida Atlantic,,0.264,0.331,0.431,0.762,54,144,17,38,8,2,4,20,2,13,42,0,0,False
1360,Brooklyn Whitt,Kent State,,0.264,0.358,0.318,0.676,44,129,27,34,5,1,0,8,2,17,17,8,2,False
1361,Savannah Talley,Tennessee Tech,,0.264,0.358,0.457,0.815,53,140,22,37,9,0,6,0,1,20,0,0,0,False
1362,Destiny Middleton,North Carolina,,0.264,0.304,0.333,0.637,50,129,23,34,3,3,0,6,2,6,21,7,3,False
1363,Brooklynn Maxwell,UNC Greensboro,,0.264,0.299,0.423,0.722,54,163,33,43,6,1,6,17,0,9,7,3,0,False
1364,Brylie St. Clair,Mississippi State,,0.264,0.307,0.303,0.61,64,178,28,47,7,0,0,14,1,10,30,6,0,False
1365,Essence Gibbs,Bethune-Cookman,,0.264,0.333,0.31,0.643,39,87,13,23,2,1,0,4,1,8,20,6,1,False
1366,Maddie Katona,Dartmouth,,0.264,0.352,0.321,0.673,40,106,17,28,4,1,0,5,6,9,30,6,3,False
1367,Jasie Roberts,Houston Baptist,,0.264,0.329,0.385,0.714,48,148,22,39,8,2,2,20,2,13,14,1,0,False
1368,Meghan Davis,Marist,,0.264,0.322,0.464,0.786,44,110,10,29,4,0,6,22,2,8,21,2,1,False
1369,Kaitlyn Mathews,Ball State,,0.263,0.324,0.354,0.678,45,99,14,26,3,0,2,14,0,10,31,8,2,False
1370,Sydney Guess,Longwood,,0.263,0.336,0.374,0.71,44,99,11,26,5,0,2,14,1,10,14,1,0,False
1371,Emma McLaughlin,Siena,,0.263,0.309,0.375,0.684,55,160,11,42,13,1,1,27,4,8,24,0,0,False
1372,Mackenzie Vogler,Wagner,,0.263,0.33,0.444,0.774,40,99,10,26,6,0,4,18,0,10,12,0,1,False
1373,Hannah Hood,Evansville,,0.263,0.338,0.331,0.669,51,133,19,35,6,0,1,12,3,12,34,7,1,False
1374,Lainee Brown,Wichita State,,0.263,0.291,0.455,0.746,41,99,19,26,7,0,4,15,1,3,16,0,0,False
1375,Tierrah Williams,Texas Southern,,0.263,0.321,0.4,0.721,42,95,19,25,5,1,2,22,3,7,14,1,0,False
1376,Nicole Sullivan,DePaul,,0.263,0.385,0.467,0.852,53,152,34,40,11,1,6,1,2,28,0,0,0,False
1377,Kaytlyn Moore,Grambling,,0.263,0.382,0.281,0.663,44,114,28,30,2,0,0,7,3,19,11,16,3,False
1378,Victoria Fletcher,Morgan State,,0.263,0.289,0.413,0.702,36,80,9,21,6,0,2,18,1,2,6,0,0,False
1379,Brissa Alvarado,Coppin State,,0.263,0.434,0.456,0.89,45,114,22,30,9,2,3,24,2,34,28,0,0,False
1380,Kyla Morris,Duke,,0.263,0.306,0.313,0.619,55,99,21,26,3,1,0,11,1,6,19,11,2,False
1381,Jaeden Barajas,Utah Valley,,0.263,0.381,0.358,0.739,39,95,11,25,6,0,1,13,8,10,19,3,1,False
1382,Zaia Castruita,Utah State,,0.263,0.302,0.425,0.727,53,167,22,44,9,0,6,31,3,8,15,0,0,False
1383,Kaitlyn Flood,Manhattan,,0.263,0.29,0.407,0.697,40,118,14,31,6,1,3,1,1,4,0,0,0,False
1384,Amelia Thomas,Loyola-Chicago,,0.263,0.351,0.459,0.81,46,133,23,35,8,6,2,2,1,17,0,0,0,False
1385,Bella Loya,Illinois,,0.263,0.324,0.372,0.696,53,156,11,41,6,1,3,27,3,12,5,3,0,False
1386,Kati Ray Brown,Houston,,0.263,0.331,0.475,0.806,55,160,29,42,4,0,10,24,5,12,30,0,1,False
1387,Lauren Esman,Michigan,,0.263,0.315,0.407,0.722,48,118,17,31,8,0,3,20,1,9,33,0,1,False
1388,Delaney Rummell,Illinois,,0.263,0.313,0.479,0.792,56,167,31,44,6,0,10,34,4,9,19,9,2,False
1389,Miranda Johnson,Notre Dame,,0.262,0.289,0.393,0.682,44,107,16,28,6,1,2,1,1,4,0,0,0,False
1390,Ryan Henry,Villanova,,0.262,0.306,0.469,0.775,55,145,13,38,7,1,7,22,3,7,35,1,0,False
1391,Alyssa Dean,Memphis,,0.262,0.35,0.333,0.683,50,126,14,33,6,0,1,11,5,12,12,3,0,False
1392,Shelby Gayre,Kansas,,0.262,0.356,0.484,0.84,47,126,19,33,7,0,7,0,5,14,0,0,0,False
1393,Bailey Winscott,Virginia,,0.262,0.434,0.31,0.744,43,84,18,22,2,1,0,0,3,24,0,0,0,False
1394,Travieso Lilly,Cornell,,0.262,0.316,0.344,0.66,40,122,5,32,7,0,1,16,4,6,20,0,0,False
1395,Megan Dedrick,Loyola Marymount,,0.262,0.439,0.369,0.808,54,130,39,34,6,1,2,20,11,30,17,13,1,False
1396,Morgan Fisher,UMass Lowell,,0.262,0.303,0.393,0.696,40,122,17,32,7,0,3,24,2,6,13,2,0,False
