,player,team,position,batting_average,obp,slugging_percentage,ops,games_played,at_bats,runs,hits,doubles,triples,homeruns,rbi,hit_by_pitch,walks,strikeouts,stolen_bases,caught_stealing,all_american
45,Tiare Jennings,Oklahoma,,0.401,0.509,0.94,1.449,62,182,83,73,9,1,29,1,1,39,0,0,0,True
46,Grace Lyons,Oklahoma,,0.401,0.486,0.864,1.35,62,177,67,71,7,3,23,4,8,22,0,0,0,True
47,Carmyn Greenwood,Louisville,,0.4,0.456,0.823,1.279,52,175,54,70,18,7,14,52,0,18,35,7,0,True
48,Emily Daniel,Dayton,,0.4,0.462,0.419,0.881,44,105,20,42,2,0,0,8,1,11,8,16,2,False
49,Emma Ritter,Virginia Tech,,0.4,0.474,0.661,1.135,56,165,53,66,11,4,8,40,5,21,6,23,2,True
50,London Jarrard,St. John's,,0.4,0.467,0.55,1.017,44,120,17,48,13,1,1,25,5,11,18,11,3,False
51,Cassie Lindmark,Penn State,,0.4,0.508,0.631,1.139,54,160,22,64,16,0,7,34,19,17,14,1,0,False
52,Cora Bassett,Indiana,,0.4,0.508,0.774,1.282,49,155,57,62,19,0,13,1,5,29,0,0,0,False
53,Violet Zavodnik,BYU,,0.399,0.487,0.882,1.369,52,153,49,61,13,2,19,2,8,22,0,0,0,False
54,Georgia Capell,Tarleton,,0.398,0.5,0.839,1.339,55,161,48,64,12,1,19,51,12,21,30,9,0,False
55,Kyleigh Sand,Rutgers,,0.398,0.495,0.497,0.992,55,171,49,68,12,1,1,23,2,33,9,23,5,False
56,Kristina Foreman,Duke,,0.398,0.47,0.797,1.267,48,128,41,51,6,0,15,56,6,14,26,8,2,False
57,Taylor Dadig,George Mason,,0.398,0.429,0.44,0.869,50,166,35,66,5,1,0,20,1,8,12,18,3,False
58,Taylor Davis,Western Kentucky,,0.397,0.447,0.436,0.883,51,156,42,62,4,1,0,19,2,12,6,20,5,False
59,Lexi Cobb,North Texas,,0.397,0.477,0.596,1.073,49,151,43,60,12,0,6,24,1,22,14,9,2,False
60,Gianna Nicoletti,Grand Canyon,,0.396,0.469,0.456,0.925,55,182,62,72,3,4,0,11,1,24,15,51,2,False
61,Jessica Clements,Cal Poly,,0.396,0.447,0.447,0.894,48,159,36,63,6,1,0,1,5,12,0,0,0,False
62,Mac Barbara,San Diego State,,0.395,0.493,0.802,1.295,55,172,32,68,14,1,18,61,0,34,24,6,1,True
63,Gracie Morton,Memphis,,0.395,0.431,0.539,0.97,54,167,33,66,6,3,4,19,2,10,22,6,4,False
64,Bella Peterson,Indiana State,,0.395,0.458,0.725,1.183,52,167,42,66,21,2,10,35,0,22,19,8,0,False
65,Ashley Trierweiler,Santa Clara,,0.394,0.433,0.471,0.904,51,170,36,67,9,2,0,0,1,13,0,0,0,False
66,Taylei Williams,BYU,,0.394,0.424,0.646,1.07,47,127,40,50,13,2,5,0,0,11,0,0,0,False
67,Tricia Awald,Georgia Tech,,0.393,0.568,0.703,1.271,56,145,28,57,16,1,9,43,12,52,30,1,0,False
68,Hannah Shifflett,James Madison,,0.393,0.468,0.8,1.268,42,135,42,53,10,0,15,39,0,20,22,7,3,False
69,Jourdyn Campbell,Louisiana,,0.392,0.449,0.703,1.152,52,148,31,58,11,1,11,35,6,11,20,8,4,False
70,Kelsey Hall,Boise State,,0.392,0.497,0.783,1.28,46,120,37,47,6,1,13,32,6,19,21,5,1,False
71,Kendra Falby,Florida,,0.392,0.444,0.493,0.937,68,217,63,85,7,3,3,26,1,21,44,36,5,False
72,Haeli Bryson,Tennessee Tech,,0.392,0.445,0.632,1.077,54,171,46,67,12,1,9,2,1,17,0,0,0,False
73,Briana Perez,UCLA,,0.392,0.448,0.726,1.174,61,186,49,73,18,7,10,1,4,17,0,0,0,True
74,Addison Barnard,Wichita State,,0.391,0.467,1.018,1.485,52,169,64,66,7,0,33,84,4,23,37,25,4,True
75,Tremere Harris,Central Arkansas,,0.391,0.469,0.467,0.936,58,184,49,72,10,2,0,26,0,28,24,27,1,False
76,Avrey Steiner,Illinois,,0.391,0.415,0.437,0.852,56,197,35,77,9,0,0,20,0,8,19,10,6,False
77,Abby Bumcrot,Boise State,,0.39,0.49,0.585,1.075,40,82,24,32,8,1,2,18,6,10,3,2,2,False
