player,team,position,batting_average,obp,slugging_percentage,ops,games_played,at_bats,runs,hits,doubles,triples,homeruns,rbi,hit_by_pitch,walks,strikeouts,stolen_bases,caught_stealing
Julia Bilbao,Texas Southern,,0.274,0.396,0.389,0.785,43,113,25,31,5,1,2,23,1,23,14,4,1
Cami Compson,Pittsburgh,,0.274,0.348,0.496,0.844,41,117,20,32,3,1,7,22,2,12,48,4,0
Jolie Duong,Army,,0.274,0.339,0.387,0.726,44,106,20,29,3,0,3,8,1,10,16,2,0
Kaitlyn Cook,Colorado State,,0.274,0.315,0.444,0.759,46,135,19,37,5,0,6,23,3,6,28,0,2
Katie Reeg,Dayton,,0.274,0.331,0.434,0.765,46,106,22,29,8,0,3,18,2,8,20,6,0
Sarah Price,USC Upstate,,0.273,0.34,0.339,0.679,58,183,40,50,9,0,1,26,1,18,12,37,3
Emily Parrott,Appalachian State,,0.273,0.328,0.409,0.737,55,176,33,48,6,0,6,28,1,15,18,9,2
Korynna Anderson,Longwood,,0.273,0.342,0.424,0.766,52,139,17,38,6,0,5,20,7,8,22,3,2
Alex Musial,Binghamton,,0.273,0.385,0.455,0.84,41,66,12,18,6,0,2,10,4,8,28,0,0
SeaEnna Satcher,Charleston Southern,,0.273,0.31,0.448,0.758,55,165,20,45,9,1,6,33,8,1,18,1,1
Madison Lewis,Florida International,,0.273,0.375,0.405,0.78,45,121,16,33,9,2,1,20,5,16,30,4,1
Kacie Hoffmann,Arkansas,,0.273,0.333,0.555,0.888,51,110,17,30,5,1,8,0,2,8,0,0,0
Lauren VanAssche,Virginia,,0.273,0.322,0.36,0.682,49,139,26,38,6,0,2,2,0,10,0,0,0
Kaia Bonshock,Mount St. Marys,,0.273,0.373,0.381,0.754,48,139,8,38,6,0,3,25,5,17,20,2,0
Jordan Jenkins,Northern Kentucky,,0.273,0.341,0.323,0.664,56,161,4,44,5,0,1,20,2,15,30,0,0
Jenna OHair,Northern Kentucky,,0.273,0.413,0.309,0.722,46,110,20,30,4,0,0,8,8,19,24,6,3
Kinzie Hansen,Oklahoma,,0.273,0.323,0.521,0.844,52,121,26,33,6,0,8,4,2,7,0,0,0
Allyson Ferreira,Santa Clara,,0.273,0.303,0.406,0.709,43,128,19,35,8,3,1,1,1,8,0,0,0
Blayke Batten,UNC Greensboro,,0.273,0.346,0.562,0.908,43,121,31,33,4,2,9,26,2,12,21,0,0
Brooklyn Weisgram,Montana,,0.273,0.348,0.488,0.836,46,121,21,33,8,0,6,22,8,7,29,1,0
Kailey Snell,Chattanooga,,0.273,0.327,0.344,0.671,53,154,23,42,4,2,1,17,2,11,26,10,2
Kiaya Jeusi,Hampton,,0.273,0.343,0.373,0.716,55,161,17,44,6,2,2,25,4,13,38,11,1
Kara Fusco,Colgate,,0.273,0.326,0.424,0.75,46,132,11,36,9,1,3,17,1,10,24,0,0
Aspen Howie,Houston,,0.273,0.371,0.54,0.911,54,150,27,41,7,0,11,34,1,23,16,0,2
Gabby Baylog,Virginia,,0.273,0.383,0.418,0.801,48,110,13,30,7,0,3,0,4,17,0,0,0
Brook Richards,Idaho State,,0.273,0.363,0.338,0.701,52,139,25,38,7,1,0,1,3,21,0,0,0
Ashanti Eubanks,North Carolina Central,,0.273,0.455,0.333,0.788,41,66,12,18,1,0,1,10,0,22,26,0,1
Danielle Duplay,Nicholls State,,0.272,0.409,0.296,0.705,49,125,20,34,3,0,0,9,1,28,21,10,2
Sam Roe,Florida,,0.272,0.294,0.398,0.692,53,103,15,28,2,1,3,17,1,3,13,1,1
Marah Wood,Evansville,,0.272,0.344,0.544,0.888,50,147,22,40,14,1,8,31,0,16,34,7,1
Kianna Jones,North Carolina,,0.272,0.322,0.478,0.8,50,136,14,37,5,1,7,28,1,10,28,0,1
Hannah Earls,Texas State,,0.272,0.355,0.299,0.654,53,147,28,40,2,1,0,9,0,19,18,22,4
Sydney Gutierrez,Ole Miss,,0.272,0.39,0.384,0.774,57,151,19,41,10,2,1,31,8,22,24,1,0
Delaney Diaz,UC Davis,,0.272,0.317,0.39,0.707,44,136,9,37,4,0,4,25,1,8,20,1,0
Carolyn Deady,Georgia State,,0.272,0.378,0.496,0.874,51,125,15,34,1,0,9,1,1,21,0,0,0
Alesia Ranches,Iowa State,,0.272,0.362,0.444,0.806,55,151,25,41,9,1,5,34,0,23,41,4,0
Ashley Errico,Drexel,,0.272,0.392,0.544,0.936,45,136,28,37,5,1,10,35,6,22,31,0,1
Hailey Batista,North Carolina Central,,0.272,0.393,0.52,0.913,48,125,31,34,10,0,7,28,4,21,26,5,0
Emery Nielson,Fresno State,,0.271,0.312,0.297,0.609,49,118,22,32,1,1,0,1,0,7,25,7,4
Makenzie Miller,Wagner,,0.271,0.3,0.361,0.661,48,133,23,36,7,1,1,14,2,4,18,4,1
Rylie West,Tennessee,,0.271,0.373,0.549,0.922,52,133,30,36,9,2,8,24,5,18,15,0,0
Janea Mobley,Florida A&M,,0.271,0.324,0.365,0.689,41,96,4,26,4,1,1,1,1,7,0,0,0
Katie Goldberg,Virginia,,0.271,0.344,0.553,0.897,54,170,30,46,8,2,12,0,2,17,0,0,0
Ariel Carlson,Oregon,,0.271,0.35,0.636,0.986,51,140,35,38,4,1,15,42,4,14,35,9,2
Conchetta Rinaldi,Youngstown State,,0.271,0.284,0.429,0.713,56,177,13,48,10,0,6,5,1,6,0,0,0
Leslie Romero,New Mexico,,0.271,0.323,0.382,0.705,50,144,13,39,10,0,2,5,0,11,0,0,0
Taylor Gauthier,Detroit Mercy,,0.271,0.33,0.292,0.622,33,96,10,26,2,0,0,0,1,8,0,0,0
Kelsey Lenox,South Dakota State,,0.271,0.391,0.473,0.864,49,129,11,35,8,0,6,23,2,26,24,0,0
Kyndall Crawford,Lipscomb,,0.271,0.351,0.322,0.673,47,118,17,32,3,0,1,10,2,13,24,1,0
Rachel Weber,Omaha,,0.271,0.303,0.368,0.671,44,144,15,39,12,1,0,26,1,6,48,1,1
Kaylee Lambrecht,NC State,,0.271,0.356,0.452,0.808,55,177,37,48,8,0,8,27,2,22,28,7,2
Miranda Lista,Abilene Christian,,0.271,0.321,0.419,0.74,43,129,21,35,3,2,4,18,2,8,23,2,1
Shawnee Ronyak,Coppin State,,0.271,0.333,0.336,0.669,43,107,12,29,3,2,0,13,0,10,22,2,3
Joslynn Davis,Bethune-Cookman,,0.271,0.35,0.285,0.635,50,144,21,39,2,0,0,9,1,17,24,6,2
Alexis Bishop,California,,0.271,0.403,0.441,0.844,51,118,13,32,3,1,5,23,11,15,37,1,0
Ashleigh Duty,Georgia Southern,,0.271,0.322,0.28,0.602,43,107,23,29,1,0,0,0,1,7,25,10,2
Lauren Kehlenbrink,Valparaiso,,0.271,0.33,0.49,0.82,36,96,11,26,9,0,4,0,0,9,0,0,0
Maile Olsen,California Baptist,,0.271,0.281,0.364,0.645,53,129,21,35,9,0,1,17,0,3,16,6,0
Skyler Rapuano,Rhode Island,,0.271,0.351,0.331,0.682,41,118,18,32,3,2,0,10,1,14,31,7,3
Gabby Papushka,Maine,,0.27,0.287,0.489,0.776,42,137,22,37,12,0,6,27,0,4,40,0,1
Alaina Koutsogiani,Robert Morris,,0.27,0.358,0.371,0.729,52,178,35,48,5,2,3,23,10,15,54,38,4
Dezarae Maldonado,South Florida,,0.27,0.303,0.459,0.762,57,122,19,33,5,0,6,22,1,6,19,3,0
Alicia Orosco,Stony Brook,,0.27,0.324,0.307,0.631,47,163,32,44,4,1,0,13,0,13,16,9,2
Paige Halliwill,Southeast Missouri State,,0.27,0.347,0.48,0.827,54,148,35,40,7,0,8,1,10,10,0,0,0
Makenzie Chaffin,Northwestern State,,0.27,0.329,0.396,0.725,51,159,26,43,3,1,5,21,1,13,17,4,4
Reese Reyna,McNeese,,0.27,0.369,0.372,0.741,57,137,26,37,6,1,2,17,9,13,26,15,2
Jacquelyn Bickar,Long Beach State,,0.27,0.357,0.36,0.717,51,111,32,30,3,2,1,16,4,12,16,5,3
Lindsay Ward,Saint Francis (PA),,0.27,0.36,0.461,0.821,52,152,33,41,3,1,8,33,11,12,26,5,1
Ellie Hubbard,Wisconsin,,0.27,0.366,0.365,0.731,51,137,24,37,9,2,0,13,3,19,43,0,0
Mikayla Rubin,Fairfield,,0.27,0.297,0.343,0.64,47,137,8,37,7,0,1,26,1,5,17,1,0
Paetynn Lopez,Portland State,,0.27,0.368,0.549,0.917,43,122,28,33,4,3,8,25,2,18,21,2,0
Nyah Jones,Grambling,,0.27,0.328,0.33,0.658,44,115,16,31,4,0,1,14,3,8,17,7,0
Alison Guckin,Norfolk State,,0.27,0.368,0.351,0.719,55,148,30,40,7,1,1,15,2,22,24,38,5
Kara Daly,Missouri,,0.27,0.37,0.547,0.917,59,148,24,40,2,0,13,26,3,21,47,1,0
Harlie Bickett,Lafayette,,0.27,0.329,0.331,0.66,45,148,23,40,7,1,0,14,7,6,29,5,2
Julia Mortimer,Pennsylvania,,0.27,0.311,0.38,0.691,36,100,7,27,5,0,2,1,0,6,0,0,0
Lindsey Rizzo,Southeastern Louisiana,,0.27,0.346,0.288,0.634,55,111,32,30,2,0,0,9,0,14,14,16,0
Madison Bratek,Jacksonville,,0.27,0.36,0.32,0.68,44,100,16,27,2,0,1,6,1,13,11,11,2
Taylor Herschbach,Valparaiso,,0.27,0.321,0.325,0.646,45,126,21,34,5,1,0,0,1,10,0,0,0
Amanda Argomaniz,California Baptist,,0.27,0.354,0.365,0.719,55,126,7,34,4,1,2,26,1,16,22,0,0
Hannah Borden,Southern Miss,,0.27,0.375,0.493,0.868,52,152,20,41,5,1,9,31,4,24,14,0,0
Alycia Coats,Nevada,,0.269,0.328,0.417,0.745,43,108,7,29,2,1,4,14,1,9,38,0,0
Alexa Davis,Evansville,,0.269,0.359,0.47,0.829,50,134,25,36,10,4,3,27,5,14,33,7,1
Ellie Grill,Sam Houston,,0.269,0.338,0.37,0.708,50,119,20,32,6,3,0,9,4,9,30,10,1
Hannah Kumiyama,South Carolina,,0.269,0.375,0.388,0.763,56,160,14,43,4,0,5,36,4,25,30,0,0
Aubrie Lisenby,Auburn,,0.269,0.353,0.385,0.738,50,104,14,28,6,0,2,18,1,13,13,1,0
Samantha Parish,Sacramento State,,0.269,0.284,0.368,0.652,55,171,29,46,9,1,2,2,1,7,0,0,0
Sarah Venker,Houston Baptist,,0.269,0.343,0.378,0.721,46,119,10,32,7,0,2,21,1,13,12,3,0
Delanie Johnson,Ball State,,0.269,0.358,0.471,0.829,43,104,8,28,6,0,5,30,7,8,21,0,0
Katie Pederson,Bradley,,0.268,0.311,0.431,0.742,48,123,13,33,6,1,4,23,2,7,27,3,0
Reagan Walsh,Florida,,0.268,0.301,0.404,0.705,68,213,22,57,11,0,6,50,2,10,27,0,0
Avery Goelz,Florida,,0.268,0.319,0.349,0.668,67,149,23,40,4,1,2,19,3,9,23,1,0
Rachel Kaufman,Eastern Illinois,,0.268,0.432,0.507,0.939,45,71,13,19,2,0,5,0,5,17,0,0,0
Josie Charles,Lehigh,,0.268,0.295,0.323,0.618,52,127,19,34,3,2,0,5,0,5,28,6,1
Jenna Kroll,Toledo,,0.268,0.35,0.48,0.83,44,127,15,34,7,1,6,26,5,11,29,0,0
Autumn Bennett,Boise State,,0.268,0.396,0.354,0.75,41,82,21,22,7,0,0,11,2,16,18,4,1
Bree Kohler,Youngstown State,,0.268,0.353,0.375,0.728,46,112,24,30,3,3,1,1,6,12,0,0,0
Kylie Hobbs,Sam Houston,,0.268,0.335,0.49,0.825,53,157,19,42,12,1,7,35,3,14,25,4,1
Abi Ledbetter,Belmont,,0.268,0.331,0.346,0.677,50,153,23,41,7,1,1,2,1,14,0,0,0
Kalena Burns,Iowa,,0.268,0.371,0.417,0.788,51,127,9,34,5,1,4,2,5,17,0,0,0
Kyla Reeves,South Carolina State,,0.268,0.388,0.521,0.909,33,71,8,19,4,1,4,12,5,9,21,3,1
Camryn Robillard,UTSA,,0.268,0.392,0.477,0.869,48,149,33,40,7,0,8,25,2,29,36,0,0
Grace Harvey,Lafayette,,0.268,0.35,0.399,0.749,47,138,15,37,13,1,1,27,7,13,18,3,1
Avery Carnahan,Northern Illinois,,0.268,0.363,0.371,0.734,36,97,16,26,4,3,0,18,1,14,19,6,1
Bailey Chavez,Holy Cross,,0.268,0.338,0.282,0.62,50,142,20,38,2,0,0,6,1,14,13,7,1
Delaney McDilda,Campbell,,0.268,0.343,0.394,0.737,53,142,15,38,9,0,3,32,4,15,14,1,1
Claudia Ware,Campbell,,0.268,0.364,0.349,0.713,52,149,28,40,7,1,1,15,3,20,28,22,2
Alaana Panu,Dartmouth,,0.268,0.348,0.423,0.771,44,123,21,33,8,1,3,14,9,6,21,7,0
Peyton Gale,Northern Colorado,,0.268,0.354,0.366,0.72,46,112,13,30,5,0,2,3,8,8,0,0,0
Joely Leguizamon,Jacksonville,,0.268,0.317,0.423,0.74,41,97,15,26,2,2,3,8,0,7,22,7,0
Madison Mifsud,North Carolina Central,,0.268,0.331,0.394,0.725,48,127,13,34,4,0,4,29,3,9,13,2,1
Vivian Ponn,South Florida,,0.267,0.365,0.452,0.817,56,135,19,36,8,1,5,24,5,16,24,0,0
Cassidy Brendtke,Western Michigan,,0.267,0.322,0.391,0.713,53,161,18,43,11,0,3,21,0,13,28,0,1
Laneya Wright,Rider,,0.267,0.301,0.377,0.678,51,146,20,39,8,1,2,23,2,5,17,0,0
Riley Dittmar,Eastern Illinois,,0.267,0.354,0.375,0.729,51,120,28,32,5,1,2,3,1,18,0,0,0
Kari Shedrick,Providence,,0.267,0.396,0.333,0.729,40,75,10,20,2,0,1,8,1,15,18,0,0
Indya Smith,Saint Mary's,,0.267,0.328,0.388,0.716,45,116,13,31,7,2,1,15,4,7,22,2,0
Aaliyah White,UT Arlington,,0.267,0.357,0.302,0.659,39,86,13,23,3,0,0,9,0,12,16,4,1
Emma Capuano,Iona,,0.267,0.336,0.37,0.706,45,135,18,36,8,0,2,8,2,12,32,7,2
Paige Sinicki,Oregon,,0.267,0.324,0.444,0.768,49,135,30,36,3,3,5,28,6,6,10,12,3
Alicia Veltri,Belmont,,0.267,0.431,0.446,0.877,45,101,16,27,3,0,5,0,3,26,0,0,0
Emma Sellers,South Carolina,,0.267,0.34,0.336,0.676,56,131,25,35,4,1,1,13,2,13,29,6,1
Kelsey Alexander,Central Michigan,,0.267,0.333,0.519,0.852,51,131,23,35,7,1,8,23,1,12,31,1,1
Shelbi Sunseri,LSU,,0.267,0.388,0.616,1.004,53,146,24,39,6,0,15,3,2,28,0,0,0
Paola Villegas,Northern Colorado,,0.267,0.366,0.476,0.842,47,105,20,28,8,1,4,1,10,11,0,0,0
Cierra Simon,North Texas,,0.267,0.298,0.398,0.696,53,161,35,43,4,1,5,19,1,7,32,17,3
Mackenzie Griman,Butler,,0.267,0.319,0.41,0.729,45,105,11,28,3,0,4,19,3,5,20,0,0
Bailey Dowling,Alabama,,0.267,0.366,0.533,0.899,54,150,26,40,8,1,10,29,1,23,18,1,1
Alexa Poche,Nicholls State,,0.266,0.296,0.476,0.772,48,143,17,38,6,0,8,29,4,3,41,1,1
Ashley Della Guardia,UMBC,,0.266,0.307,0.404,0.711,37,94,16,25,4,0,3,14,0,6,17,1,0
Melkayla Irvis,Florida A&M,,0.266,0.358,0.309,0.667,39,94,18,25,2,1,0,0,0,14,0,0,0
Tori Gilbert,Virginia,,0.266,0.354,0.584,0.938,54,154,35,41,11,1,12,3,3,18,0,0,0
Maiah Skakal,Saint Peter's,,0.266,0.304,0.367,0.671,52,139,23,37,6,1,2,13,5,3,15,3,2
Chloe Collins,Bellarmine,,0.266,0.347,0.477,0.824,43,109,8,29,5,0,6,17,1,13,20,0,0
Emma Curry,Hartford,,0.266,0.33,0.479,0.809,42,94,18,25,7,2,3,14,3,7,23,5,1
Carley Davis,Elon,,0.266,0.331,0.347,0.678,47,124,10,33,4,0,2,20,2,11,9,3,0
Logyn Estes,East Carolina,,0.266,0.356,0.438,0.794,54,128,24,34,4,3,4,27,2,17,22,4,1
Lexi Burkhardt,Omaha,,0.266,0.328,0.427,0.755,40,124,13,33,11,0,3,16,2,10,25,2,0
Kaylee Tow,Alabama,,0.266,0.385,0.381,0.766,53,139,25,37,4,0,4,28,1,27,21,0,1
Grayson Radcliffe,Indiana,,0.266,0.333,0.391,0.724,40,128,16,34,8,1,2,1,7,7,0,0,0
Keeler Van Breusegen,Bradley,,0.265,0.327,0.346,0.673,52,136,13,36,6,1,1,20,1,13,27,4,2
Noel Dominguez,College of Charleston,,0.265,0.355,0.295,0.65,50,132,10,35,2,1,0,6,4,15,19,3,1
Lauren Caye,Seton Hall,,0.265,0.364,0.522,0.886,39,113,24,30,9,1,6,17,1,17,26,10,0
Alexa Neil,Cal State Fullerton,,0.265,0.307,0.325,0.632,59,151,28,40,7,1,0,0,4,6,0,0,0
Antiya Randle,Grambling,,0.265,0.395,0.327,0.722,40,98,18,26,3,0,1,15,0,21,16,4,0
McKenzie Parker,Texas,,0.265,0.347,0.484,0.831,55,155,23,41,10,0,8,42,0,20,32,3,0
Amber Atkins,East Tennessee State,,0.265,0.356,0.373,0.729,51,102,6,27,5,0,2,9,3,12,28,3,0
Sydney Kaiser,Abilene Christian,,0.265,0.367,0.325,0.692,50,117,14,31,2,1,1,17,3,17,17,1,1
Skylar Coberley,Central Michigan,,0.265,0.35,0.387,0.737,53,155,23,41,7,0,4,26,1,20,46,1,0
Kelly Warren,East Tennessee State,,0.265,0.328,0.3,0.628,54,170,23,45,2,2,0,12,1,15,41,24,10
Makenna Dowell,Minnesota,,0.265,0.387,0.388,0.775,54,147,29,39,7,1,3,1,10,21,0,0,0
Marissa Burk,UC Riverside,,0.265,0.351,0.477,0.828,46,132,25,35,10,0,6,21,1,18,16,0,0
Jaeda Gardner,Alabama State,,0.265,0.313,0.279,0.592,52,136,25,36,2,0,0,11,0,10,34,16,1
Randi Drinnon,Western Kentucky,,0.264,0.367,0.403,0.77,51,129,20,34,7,1,3,14,0,21,18,5,0
Esperanza Coe,Alabama A&M,,0.264,0.316,0.403,0.719,34,72,9,19,4,0,2,14,1,5,10,1,0
Chloe Gomez,McNeese,,0.264,0.362,0.318,0.68,46,110,16,29,4,1,0,18,4,13,16,5,1
Kaylee Ketcherside,Western Illinois,,0.264,0.286,0.292,0.578,41,106,9,28,1,1,0,0,1,3,0,0,0
Zoey Jones,Florida Atlantic,,0.264,0.331,0.431,0.762,54,144,17,38,8,2,4,20,2,13,42,0,0
Brooklyn Whitt,Kent State,,0.264,0.358,0.318,0.676,44,129,27,34,5,1,0,8,2,17,17,8,2
Savannah Talley,Tennessee Tech,,0.264,0.358,0.457,0.815,53,140,22,37,9,0,6,0,1,20,0,0,0
Destiny Middleton,North Carolina,,0.264,0.304,0.333,0.637,50,129,23,34,3,3,0,6,2,6,21,7,3
Brooklynn Maxwell,UNC Greensboro,,0.264,0.299,0.423,0.722,54,163,33,43,6,1,6,17,0,9,7,3,0
Brylie St. Clair,Mississippi State,,0.264,0.307,0.303,0.61,64,178,28,47,7,0,0,14,1,10,30,6,0
Essence Gibbs,Bethune-Cookman,,0.264,0.333,0.31,0.643,39,87,13,23,2,1,0,4,1,8,20,6,1
Maddie Katona,Dartmouth,,0.264,0.352,0.321,0.673,40,106,17,28,4,1,0,5,6,9,30,6,3
Jasie Roberts,Houston Baptist,,0.264,0.329,0.385,0.714,48,148,22,39,8,2,2,20,2,13,14,1,0
Meghan Davis,Marist,,0.264,0.322,0.464,0.786,44,110,10,29,4,0,6,22,2,8,21,2,1
Kaitlyn Mathews,Ball State,,0.263,0.324,0.354,0.678,45,99,14,26,3,0,2,14,0,10,31,8,2
Sydney Guess,Longwood,,0.263,0.336,0.374,0.71,44,99,11,26,5,0,2,14,1,10,14,1,0
Emma McLaughlin,Siena,,0.263,0.309,0.375,0.684,55,160,11,42,13,1,1,27,4,8,24,0,0
Mackenzie Vogler,Wagner,,0.263,0.33,0.444,0.774,40,99,10,26,6,0,4,18,0,10,12,0,1
Hannah Hood,Evansville,,0.263,0.338,0.331,0.669,51,133,19,35,6,0,1,12,3,12,34,7,1
Lainee Brown,Wichita State,,0.263,0.291,0.455,0.746,41,99,19,26,7,0,4,15,1,3,16,0,0
Tierrah Williams,Texas Southern,,0.263,0.321,0.4,0.721,42,95,19,25,5,1,2,22,3,7,14,1,0
Nicole Sullivan,DePaul,,0.263,0.385,0.467,0.852,53,152,34,40,11,1,6,1,2,28,0,0,0
Kaytlyn Moore,Grambling,,0.263,0.382,0.281,0.663,44,114,28,30,2,0,0,7,3,19,11,16,3
Victoria Fletcher,Morgan State,,0.263,0.289,0.413,0.702,36,80,9,21,6,0,2,18,1,2,6,0,0
Brissa Alvarado,Coppin State,,0.263,0.434,0.456,0.89,45,114,22,30,9,2,3,24,2,34,28,0,0
Kyla Morris,Duke,,0.263,0.306,0.313,0.619,55,99,21,26,3,1,0,11,1,6,19,11,2
Jaeden Barajas,Utah Valley,,0.263,0.381,0.358,0.739,39,95,11,25,6,0,1,13,8,10,19,3,1
Zaia Castruita,Utah State,,0.263,0.302,0.425,0.727,53,167,22,44,9,0,6,31,3,8,15,0,0
Kaitlyn Flood,Manhattan,,0.263,0.29,0.407,0.697,40,118,14,31,6,1,3,1,1,4,0,0,0
Amelia Thomas,Loyola-Chicago,,0.263,0.351,0.459,0.81,46,133,23,35,8,6,2,2,1,17,0,0,0
Bella Loya,Illinois,,0.263,0.324,0.372,0.696,53,156,11,41,6,1,3,27,3,12,5,3,0
Kati Ray Brown,Houston,,0.263,0.331,0.475,0.806,55,160,29,42,4,0,10,24,5,12,30,0,1
Lauren Esman,Michigan,,0.263,0.315,0.407,0.722,48,118,17,31,8,0,3,20,1,9,33,0,1
Delaney Rummell,Illinois,,0.263,0.313,0.479,0.792,56,167,31,44,6,0,10,34,4,9,19,9,2
Miranda Johnson,Notre Dame,,0.262,0.289,0.393,0.682,44,107,16,28,6,1,2,1,1,4,0,0,0
Ryan Henry,Villanova,,0.262,0.306,0.469,0.775,55,145,13,38,7,1,7,22,3,7,35,1,0
Alyssa Dean,Memphis,,0.262,0.35,0.333,0.683,50,126,14,33,6,0,1,11,5,12,12,3,0
Shelby Gayre,Kansas,,0.262,0.356,0.484,0.84,47,126,19,33,7,0,7,0,5,14,0,0,0
Bailey Winscott,Virginia,,0.262,0.434,0.31,0.744,43,84,18,22,2,1,0,0,3,24,0,0,0
Travieso Lilly,Cornell,,0.262,0.316,0.344,0.66,40,122,5,32,7,0,1,16,4,6,20,0,0
Megan Dedrick,Loyola Marymount,,0.262,0.439,0.369,0.808,54,130,39,34,6,1,2,20,11,30,17,13,1
Morgan Fisher,UMass Lowell,,0.262,0.303,0.393,0.696,40,122,17,32,7,0,3,24,2,6,13,2,0
Desirae Martinez,Bethune-Cookman,,0.262,0.292,0.303,0.595,50,145,8,38,6,0,0,23,4,3,10,0,0
Annie Potter,Mercer,,0.262,0.315,0.363,0.678,55,168,21,44,10,2,1,22,3,11,17,0,0
Marsha Hunt,Alcorn State,,0.262,0.34,0.411,0.751,47,141,19,37,14,2,1,26,2,15,34,3,0
Jaylah Barr,North Carolina Central,,0.262,0.406,0.505,0.911,45,107,17,28,5,0,7,23,3,23,27,1,0
Joecellia Roberts,San Diego,,0.261,0.328,0.376,0.704,54,165,22,43,11,1,2,19,2,15,28,3,0
Charlotte Grover,Robert Morris,,0.261,0.324,0.412,0.736,52,165,29,43,10,0,5,26,3,13,35,0,0
Chloe Morgan,Binghamton,,0.261,0.304,0.312,0.616,44,138,16,36,3,2,0,12,2,7,18,3,2
Josie Willingham,McNeese,,0.261,0.312,0.363,0.675,58,157,28,41,7,3,1,18,1,12,21,12,1
Maddie Swart,Eastern Illinois,,0.261,0.345,0.304,0.649,52,138,14,36,3,0,1,0,0,21,0,0,0
Maddie Lawson,Rutgers,,0.261,0.308,0.363,0.671,51,157,18,41,10,0,2,25,5,7,15,1,2
Tori Bowles,Mount St. Marys,,0.261,0.35,0.37,0.72,43,119,9,31,4,0,3,10,5,12,17,0,0
Skylar Sirdashney,Wisconsin,,0.261,0.298,0.375,0.673,42,88,10,23,3,2,1,14,1,4,23,3,2
Isabella Galloway,Kennesaw State,,0.261,0.297,0.315,0.612,43,111,15,29,6,0,0,10,0,6,22,1,0
Avrey Schumacher,Youngstown State,,0.261,0.325,0.34,0.665,56,153,16,40,10,1,0,2,3,12,0,0,0
Claire Ginder,Texas State,,0.261,0.32,0.34,0.66,56,153,17,40,5,2,1,26,1,14,27,2,0
Jahni Kerr,Florida State,,0.261,0.298,0.422,0.72,60,180,25,47,10,2,5,2,0,10,0,0,0
Xiara Diaz,Cal Poly,,0.261,0.338,0.291,0.629,48,134,13,35,4,0,0,1,10,6,0,0,0
Aubrey Ketcham,Saint Peter's,,0.261,0.366,0.296,0.662,52,115,20,30,2,1,0,12,8,11,22,13,3
Katariina Delph,Morgan State,,0.261,0.346,0.319,0.665,40,69,12,18,2,1,0,3,4,5,10,9,3
Steffany Dickerson,Missouri State,,0.261,0.37,0.435,0.805,43,92,9,24,4,0,4,18,2,14,26,1,0
Cayden Baker,Texas A&M,,0.261,0.276,0.336,0.612,52,119,15,31,1,1,2,17,0,3,23,4,2
Sommer Kisling,UC Davis,,0.261,0.333,0.279,0.612,52,165,22,43,1,1,0,10,2,16,11,1,1
Julz Garber,Delaware,,0.261,0.341,0.306,0.647,44,111,16,29,2,0,1,13,0,14,18,3,4
Olivia Johnson,Washington,,0.261,0.423,0.588,1.011,50,119,23,31,4,1,11,25,4,31,30,1,0
Emily Kepple,Hampton,,0.261,0.342,0.41,0.752,55,161,17,42,9,0,5,26,5,16,19,1,1
Madeline Vejvoda,Creighton,,0.261,0.324,0.299,0.623,42,134,19,35,5,0,0,11,2,11,17,0,1
Taylor Roby,Louisville,,0.261,0.382,0.592,0.974,52,157,27,41,7,0,15,45,4,28,39,0,0
Taylor Williams,Northwestern State,,0.26,0.331,0.32,0.651,51,150,27,39,7,1,0,10,3,13,26,8,0
Savannah Rodriguez,Western Illinois,,0.26,0.351,0.38,0.731,38,100,7,26,6,0,2,0,3,11,0,0,0
Micaela Abbatine,Providence,,0.26,0.282,0.37,0.652,46,127,25,33,8,0,2,14,1,3,25,20,0
Miranda Stoddard,Kentucky,,0.26,0.308,0.519,0.827,55,131,27,34,7,0,9,33,2,8,36,3,1
Ivy Davis,Tennessee,,0.26,0.403,0.545,0.948,59,154,37,40,5,0,13,38,16,21,33,2,0
Cami Newbanks,Saint Louis,,0.26,0.414,0.43,0.844,43,100,8,26,6,1,3,15,0,27,29,1,2
Deshea Hill,Cal State Fullerton,,0.26,0.323,0.432,0.755,56,169,14,44,6,1,7,2,4,12,0,0,0
Courtney Paolantonio,Bryant,,0.26,0.313,0.506,0.819,50,77,10,20,8,1,3,21,0,6,19,0,0
Maci Cunconan,Lipscomb,,0.26,0.31,0.571,0.881,52,154,23,40,6,9,8,36,2,11,35,4,2
Natasha Miner,Lafayette,,0.26,0.372,0.322,0.694,46,146,29,38,6,0,1,13,8,18,8,7,1
Chloe Whittier,Massachusetts,,0.26,0.339,0.347,0.686,51,150,20,39,5,1,2,1,8,11,0,0,0
Bailey Drapola,Pittsburgh,,0.26,0.4,0.493,0.893,36,73,7,19,4,2,3,22,3,14,22,7,1
Destiny Hernandez,Southern,,0.26,0.316,0.366,0.682,46,123,11,32,7,0,2,19,0,10,10,0,0
Mackenzie Mahy,Northern Illinois,,0.26,0.373,0.308,0.681,40,104,27,27,2,0,1,8,2,18,19,12,3
Bethany Busch,Houston,,0.26,0.359,0.45,0.809,51,131,25,34,5,1,6,21,5,16,31,11,4
Kate Beckemeyer,Valparaiso,,0.26,0.291,0.29,0.581,46,131,8,34,4,0,0,1,0,7,0,0,0
