player,team,position,batting_average,obp,slugging_percentage,ops,games_played,at_bats,runs,hits,doubles,triples,homeruns,rbi,hit_by_pitch,walks,strikeouts,stolen_bases,caught_stealing
Emma Clark,Notre Dame,,0.362,0.383,0.427,0.81,52,185,47,67,8,2,0,1,1,6,0,0,0
Abby Sweet,Notre Dame,,0.362,0.454,0.564,1.018,52,163,55,59,11,2,6,0,16,13,0,0,0
Kiki Milloy,Tennessee,,0.362,0.455,0.673,1.128,59,196,53,71,12,2,15,53,13,21,30,31,2
Yazmine Romero,Youngstown State,,0.362,0.4,0.403,0.803,56,196,32,71,6,1,0,0,0,13,0,0,0
Ellen Hubbard,Merrimack,,0.362,0.404,0.465,0.869,42,127,15,46,7,0,2,22,1,8,11,3,0
Briana Marcelino,Connecticut,,0.362,0.44,0.596,1.036,56,188,47,68,13,2,9,42,2,26,32,39,0
Jasmine Hall,James Madison,,0.362,0.434,0.67,1.104,35,94,28,34,6,1,7,19,2,10,15,1,0
Jada Cody,UCF,,0.361,0.439,0.701,1.14,63,194,48,70,15,3,15,75,3,27,26,7,2
Allee Bunker,Oregon,,0.361,0.391,0.594,0.985,52,180,36,65,10,1,10,41,0,10,7,12,3
Kalita Dennis,Howard,,0.361,0.411,0.646,1.057,54,158,40,57,9,3,10,48,0,15,16,11,4
Mya Stevenson,Marshall,,0.361,0.44,0.806,1.246,53,155,41,56,12,0,19,55,6,18,23,8,2
Gracie Osbron,Murray State,,0.361,0.446,0.645,1.091,58,166,38,60,16,2,9,1,5,21,0,0,0
Mariah Mazon,Oregon State,,0.36,0.438,0.772,1.21,46,114,31,41,9,1,12,0,4,12,0,0,0
Camille Navarro,Howard,,0.36,0.433,0.543,0.976,55,175,52,63,15,7,1,23,7,17,2,16,3
Hannah Burnett,Grand Canyon,,0.36,0.417,0.404,0.821,53,114,24,41,3,1,0,9,2,10,15,21,3
Emma Kauf,Georgia Tech,,0.36,0.422,0.599,1.021,56,197,37,71,25,2,6,37,2,19,17,2,1
Kaitlyn Tucker,Presbyterian,,0.36,0.45,0.426,0.876,51,136,38,49,7,1,0,0,3,29,0,0,0
Ariana Martinez,UNLV,,0.36,0.436,0.588,1.024,49,114,15,41,3,1,7,47,4,13,26,0,0
Izzy Pacho,Arizona,,0.36,0.425,0.629,1.054,61,178,24,64,13,1,11,37,2,19,35,1,0
Carly Eldredge,Dixie State,,0.359,0.401,0.387,0.788,47,142,28,51,4,0,0,15,3,7,17,4,0
Katy Schaefer,Tarleton,,0.359,0.413,0.607,1.02,45,145,18,52,9,0,9,49,4,10,9,0,0
Jacque Harrington,Providence,,0.359,0.452,0.69,1.142,44,142,29,51,11,0,12,29,1,23,12,0,0
Jessie Niegocki,Rider,,0.359,0.419,0.391,0.81,54,184,34,66,6,0,0,16,3,16,22,0,0
Christie McGee-Ross,Canisius,,0.359,0.401,0.423,0.824,47,156,28,56,6,2,0,21,0,11,37,23,5
Koko Wooley,Texas A&M,,0.359,0.398,0.473,0.871,58,184,45,66,9,6,0,15,2,10,33,26,2
Hanna Garber,Delaware,,0.359,0.453,0.647,1.1,45,153,48,55,10,5,8,27,1,26,14,16,3
Layna Johnson,Presbyterian,,0.359,0.403,0.534,0.937,47,131,30,47,8,0,5,0,1,10,0,0,0
Lewa Day,Sacramento State,,0.359,0.471,0.724,1.195,54,156,40,56,9,0,16,0,3,30,0,0,0
Isabella Pardo,Siena,,0.358,0.394,0.389,0.783,55,193,38,69,4,1,0,10,1,12,12,6,2
Emily Cimino,Lehigh,,0.358,0.39,0.564,0.954,50,165,29,59,14,4,4,33,1,9,13,0,1
Cassidy Triska,Fairleigh Dickinson,,0.358,0.409,0.723,1.132,48,159,41,57,11,1,15,36,4,11,20,12,1
Kaley Mudge,Florida State,,0.358,0.423,0.511,0.934,54,176,44,63,9,3,4,4,0,20,0,0,0
Jasmine Sofowora,Loyola Marymount,,0.358,0.4,0.621,1.021,41,95,22,34,10,0,5,28,1,7,24,8,1
Haylee Kela,UC Riverside,,0.358,0.408,0.547,0.955,48,159,26,57,11,2,5,36,1,13,24,6,0
Chelsea Manto,Hofstra,,0.358,0.387,0.409,0.796,48,176,30,63,3,3,0,11,0,9,28,21,4
Alyssa Daniell,Loyola Marymount,,0.357,0.394,0.587,0.981,54,143,31,51,10,1,7,28,3,7,12,2,0
Sara Jubas,North Carolina,,0.357,0.471,0.543,1.014,50,140,32,50,17,0,3,37,7,24,8,4,1
Morgan Petty,Albany,,0.357,0.394,0.651,1.045,42,129,30,46,12,1,8,40,2,8,26,14,1
Stormy Kotzelnick,Louisiana,,0.356,0.419,0.644,1.063,59,194,47,69,14,6,10,51,5,19,27,22,3
Brylee Hage,Western Kentucky,,0.356,0.42,0.5,0.92,51,160,37,57,12,4,1,19,1,18,19,17,1
Arissa Henderson,Weber State,,0.356,0.472,0.713,1.185,43,87,16,31,4,0,9,29,2,17,16,0,0
Denae Chatman,Grand Canyon,,0.356,0.429,0.632,1.061,55,163,32,58,3,0,14,51,2,22,18,1,0
April Visser,UNLV,,0.355,0.491,0.687,1.178,58,166,51,59,8,1,15,48,13,34,34,6,1
Crislyne Moreno,McNeese,,0.355,0.436,0.511,0.947,52,141,25,50,11,1,3,40,4,18,32,15,2
Serena Starks,Princeton,,0.355,0.374,0.434,0.808,46,152,27,54,9,0,1,1,1,6,0,0,0
Kayla Konwent,Wisconsin,,0.355,0.513,0.638,1.151,50,141,21,50,10,0,10,32,8,38,24,2,0
Devyn Flaherty,Florida State,,0.355,0.412,0.538,0.95,61,186,45,66,12,2,6,3,3,15,0,0,0
Maddie Amos,Cal Poly,,0.355,0.406,0.579,0.985,48,152,28,54,11,1,7,0,1,14,0,0,0
Bri Stubbs,North Carolina,,0.355,0.477,0.461,0.938,51,141,38,50,10,1,1,14,4,30,35,8,1
Jamie White,Omaha,,0.355,0.497,0.661,1.158,46,124,24,44,11,0,9,36,12,24,23,1,0
Taylon Snow,Oklahoma,,0.355,0.427,0.532,0.959,58,124,35,44,8,1,4,1,3,14,0,0,0
Emily Valtman,Drake,,0.354,0.406,0.64,1.046,49,161,35,57,10,0,12,37,0,14,16,3,1
Janyssa Martin,UNLV,,0.354,0.505,0.695,1.2,45,82,29,29,5,1,7,23,2,24,22,1,0
Katie Kistler,Florida,,0.354,0.426,0.41,0.836,65,161,33,57,4,1,1,24,6,15,16,11,4
Paige Rivas,Winthrop,,0.354,0.416,0.391,0.807,54,161,28,57,0,3,0,13,1,16,32,25,5
Jenna Wildeman,Central Arkansas,,0.354,0.448,0.381,0.829,58,189,55,67,1,2,0,7,0,32,39,40,9
Katie Falotico,Albany,,0.354,0.401,0.638,1.039,42,127,16,45,16,4,4,36,3,9,25,4,3
Autumn Owen,Marshall,,0.354,0.421,0.597,1.018,51,144,36,51,11,0,8,23,0,18,29,7,1
Lexi Orozco,Utah State,,0.354,0.471,0.687,1.158,55,147,30,52,13,0,12,46,2,36,34,2,0
Hailey Smith,Colorado State,,0.354,0.365,0.549,0.914,46,144,21,51,15,2,3,40,1,6,30,2,0
Kelly Horne,Troy,,0.353,0.53,0.729,1.259,52,133,40,47,6,1,14,28,6,44,20,0,0
Carly Lucchetti,Pacific,,0.353,0.372,0.453,0.825,46,150,21,53,6,3,1,13,0,5,17,12,2
Kaylee Anderson,Southeast Missouri State,,0.353,0.415,0.634,1.049,54,153,37,54,8,1,11,0,2,17,0,0,0
